==PROF== Connected to process 42736 (C:\Users\jidro\Documents\Elijah\ML_DL_ETC\Projects\Corrected Projects\GPU Roofline Profiler\build\roofline_profiler.exe)
==PROF== Disconnected from process 42736
device: NVIDIA GeForce RTX 5070 (sm_120), 48 SMs, 2.625 GHz
measuring ceilings ...
  theoretical: 32.26 TFLOP/s, 672.0 GB/s
  measured   : 34.23 TFLOP/s, 582.6 GB/s
wrote 7 rows to C:\Users\jidro\Documents\Elijah\ML_DL_ETC\Projects\Corrected Projects\GPU Roofline Profiler\results\raw\ncu_20260722T232450Z\driver_scratch\timing.csv
NVML samples: 5
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","42736","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_register_blocked_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_read.sum","byte","42,139,648"
"0","42736","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_register_blocked_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_write.sum","byte","2,289,664"
"0","42736","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_register_blocked_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","2,970,912"
"0","42736","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_register_blocked_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum","","134,541,413"
"0","42736","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_register_blocked_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","","8,388,608"
"0","42736","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_register_blocked_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_st.sum","","131,072"
"0","42736","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_register_blocked_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","33,554,432"
"0","42736","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_register_blocked_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","2,097,152"
"0","42736","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_register_blocked_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","95.08"
"0","42736","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_register_blocked_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","80.80"
"0","42736","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_register_blocked_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","62.70"
"0","42736","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_register_blocked_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.ratio","","32.00"
