==PROF== Connected to process 59276 (C:\Users\jidro\Documents\Elijah\ML_DL_ETC\Projects\Corrected Projects\GPU Roofline Profiler\build\roofline_profiler.exe)
==PROF== Disconnected from process 59276
device: NVIDIA GeForce RTX 5070 (sm_120), 48 SMs, 2.625 GHz
measuring ceilings ...
  theoretical: 32.26 TFLOP/s, 672.0 GB/s
  measured   : 34.39 TFLOP/s, 582.9 GB/s
wrote 7 rows to C:\Users\jidro\Documents\Elijah\ML_DL_ETC\Projects\Corrected Projects\GPU Roofline Profiler\results\raw\ncu_20260722T232450Z\driver_scratch\timing.csv
NVML samples: 6
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","59276","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_vectorized_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_read.sum","byte","38,170,624"
"0","59276","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_vectorized_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_write.sum","byte","8,163,840"
"0","59276","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_vectorized_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","2,103,104"
"0","59276","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_vectorized_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum","","93,387,380"
"0","59276","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_vectorized_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","","2,097,152"
"0","59276","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_vectorized_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_st.sum","","32,768"
"0","59276","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_vectorized_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","33,554,432"
"0","59276","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_vectorized_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","524,288"
"0","59276","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_vectorized_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","95.33"
"0","59276","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_vectorized_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","71.31"
"0","59276","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_vectorized_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","62.28"
"0","59276","roofline_profiler.exe","127.0.0.1","unnamed>::gemm_vectorized_kernel(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(32, 32, 1)","0","12.0","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.ratio","","32"
