kernel,variant,problem_size,m,n,k,block_size,tile_dim,mean_ms,median_ms,stddev_ms,achieved_gflops,achieved_gbps,flops,theoretical_bytes,timestamp
saxpy,base,1048576,0,0,0,128,0,0.019372,0.017152,0.007264,108.256509,649.539056,2097152.0,12582912.0,2026-07-22T21:41:45.286Z
saxpy,base,1048576,0,0,0,256,0,0.017690,0.016271,0.003820,118.553251,711.319504,2097152.0,12582912.0,2026-07-22T21:41:45.322Z
saxpy,base,1048576,0,0,0,512,0,0.018567,0.016993,0.004666,112.949677,677.698060,2097152.0,12582912.0,2026-07-22T21:41:45.341Z
saxpy,base,4194304,0,0,0,128,0,0.033295,0.031644,0.004586,251.944530,1511.667181,8388608.0,50331648.0,2026-07-22T21:41:45.376Z
saxpy,base,4194304,0,0,0,256,0,0.032224,0.030295,0.003392,260.319677,1561.918065,8388608.0,50331648.0,2026-07-22T21:41:45.410Z
saxpy,base,4194304,0,0,0,512,0,0.033518,0.032338,0.002010,250.272572,1501.635433,8388608.0,50331648.0,2026-07-22T21:41:45.445Z
saxpy,base,16777216,0,0,0,128,0,0.357832,0.356887,0.005393,93.771560,562.629360,33554432.0,201326592.0,2026-07-22T21:41:45.810Z
saxpy,base,16777216,0,0,0,256,0,0.357465,0.357273,0.003746,93.867742,563.206454,33554432.0,201326592.0,2026-07-22T21:41:46.174Z
saxpy,base,16777216,0,0,0,512,0,0.356699,0.356010,0.004015,94.069317,564.415903,33554432.0,201326592.0,2026-07-22T21:41:46.538Z
saxpy,base,67108864,0,0,0,128,0,1.421903,1.421765,0.006589,94.393057,566.358341,134217728.0,805306368.0,2026-07-22T21:41:47.499Z
saxpy,base,67108864,0,0,0,256,0,1.433519,1.425132,0.023400,93.628126,561.768753,134217728.0,805306368.0,2026-07-22T21:41:48.417Z
saxpy,base,67108864,0,0,0,512,0,1.453426,1.431085,0.046347,92.345785,554.074708,134217728.0,805306368.0,2026-07-22T21:41:49.227Z
reduction,shared_tree,1000003,0,0,0,256,0,0.025753,0.024188,0.004484,38.830653,155.322610,1000003.0,4000012.0,2026-07-22T21:41:49.256Z
reduction,shared_tree,1000003,0,0,0,512,0,0.029383,0.026168,0.009061,34.033155,136.132620,1000003.0,4000012.0,2026-07-22T21:41:49.290Z
reduction,shared_tree,1048576,0,0,0,256,0,0.023794,0.022092,0.004096,44.068421,176.273685,1048576.0,4194304.0,2026-07-22T21:41:49.315Z
reduction,shared_tree,1048576,0,0,0,512,0,0.030622,0.026612,0.007951,34.242410,136.969639,1048576.0,4194304.0,2026-07-22T21:41:49.347Z
reduction,shared_tree,16777216,0,0,0,256,0,0.136633,0.136261,0.006191,122.790142,491.160569,16777216.0,67108864.0,2026-07-22T21:41:49.487Z
reduction,shared_tree,16777216,0,0,0,512,0,0.131192,0.131391,0.002660,127.882918,511.531674,16777216.0,67108864.0,2026-07-22T21:41:49.622Z
reduction,shared_tree,67108864,0,0,0,256,0,0.472658,0.470790,0.007479,141.981831,567.927323,67108864.0,268435456.0,2026-07-22T21:41:50.113Z
reduction,shared_tree,67108864,0,0,0,512,0,0.483611,0.482737,0.008043,138.766149,555.064597,67108864.0,268435456.0,2026-07-22T21:41:50.607Z
transpose,naive,1024,1024,1024,0,0,16,0.021375,0.020455,0.003890,0.000000,392.442296,0.0,8388608.0,2026-07-22T21:41:50.630Z
